"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","674","Checkout without postal code","","Sat Apr 12 23:29:11 WIB 2025","passed","Sat Apr 12 23:29:11 WIB 2025","","Automation sauce labs e-commerce","",""
"","2208","View product list","","Sat Apr 12 23:28:49 WIB 2025","passed","Sat Apr 12 23:28:51 WIB 2025","","Automation sauce labs e-commerce","",""
"","120","Checkout with cancel button","","Sat Apr 12 23:29:12 WIB 2025","passed","Sat Apr 12 23:29:12 WIB 2025","","Automation sauce labs e-commerce","",""
"","573","Login with empty username","","Sat Apr 12 23:28:43 WIB 2025","passed","Sat Apr 12 23:28:44 WIB 2025","","Login Page","",""
"","99","View product page after click continue shopping","","Sat Apr 12 23:29:04 WIB 2025","passed","Sat Apr 12 23:29:04 WIB 2025","","Automation sauce labs e-commerce","",""
"","1490","Logout from the application","","Sat Apr 12 23:28:45 WIB 2025","passed","Sat Apr 12 23:28:46 WIB 2025","","Login Page","",""
"","1901","View cart page","","Sat Apr 12 23:29:02 WIB 2025","passed","Sat Apr 12 23:29:04 WIB 2025","","Automation sauce labs e-commerce","",""
"","97","Add one product to cart","","Sat Apr 12 23:28:52 WIB 2025","passed","Sat Apr 12 23:28:52 WIB 2025","","Automation sauce labs e-commerce","",""
"","99","Remove one product from cart","","Sat Apr 12 23:28:53 WIB 2025","passed","Sat Apr 12 23:28:53 WIB 2025","","Automation sauce labs e-commerce","",""
"","99","Back to product page","","Sat Apr 12 23:29:14 WIB 2025","passed","Sat Apr 12 23:29:14 WIB 2025","","Automation sauce labs e-commerce","",""
"","167","Sort product list by name (A to Z)","","Sat Apr 12 23:28:52 WIB 2025","passed","Sat Apr 12 23:28:52 WIB 2025","","Automation sauce labs e-commerce","",""
"","1070","Checkout with finish button","","Sat Apr 12 23:29:12 WIB 2025","passed","Sat Apr 12 23:29:13 WIB 2025","","Automation sauce labs e-commerce","",""
"","160","Sort product list by price (low to high)","","Sat Apr 12 23:28:52 WIB 2025","passed","Sat Apr 12 23:28:52 WIB 2025","","Automation sauce labs e-commerce","",""
"","1821","View checkout form page","","Sat Apr 12 23:29:07 WIB 2025","passed","Sat Apr 12 23:29:09 WIB 2025","","Automation sauce labs e-commerce","",""
"","214","Remove item from cart","","Sat Apr 12 23:29:04 WIB 2025","passed","Sat Apr 12 23:29:04 WIB 2025","","Automation sauce labs e-commerce","",""
"","200","Add more than two products to cart","","Sat Apr 12 23:28:53 WIB 2025","passed","Sat Apr 12 23:28:53 WIB 2025","","Automation sauce labs e-commerce","",""
"","582","Login with empty password","","Sat Apr 12 23:28:44 WIB 2025","passed","Sat Apr 12 23:28:45 WIB 2025","","Login Page","",""
"","110","Redirect to detail product page","","Sat Apr 12 23:29:04 WIB 2025","passed","Sat Apr 12 23:29:04 WIB 2025","","Automation sauce labs e-commerce","",""
"","1511","Login with invalid credentials","","Sat Apr 12 23:28:42 WIB 2025","passed","Sat Apr 12 23:28:43 WIB 2025","","Login Page","",""
"","101","Remove item from cart from detail page","","Sat Apr 12 23:28:59 WIB 2025","passed","Sat Apr 12 23:28:59 WIB 2025","","Automation sauce labs e-commerce","",""
"","799","Checkout with valid information","","Sat Apr 12 23:29:11 WIB 2025","passed","Sat Apr 12 23:29:12 WIB 2025","","Automation sauce labs e-commerce","",""
"","188","Sort product list descending","","Sat Apr 12 23:28:51 WIB 2025","passed","Sat Apr 12 23:28:52 WIB 2025","","Automation sauce labs e-commerce","",""
"","274","Remove all products from cart","","Sat Apr 12 23:28:53 WIB 2025","passed","Sat Apr 12 23:28:53 WIB 2025","","Automation sauce labs e-commerce","",""
"","546","Checkout without first name","","Sat Apr 12 23:29:09 WIB 2025","passed","Sat Apr 12 23:29:10 WIB 2025","","Automation sauce labs e-commerce","",""
"","105","Add two products to cart","","Sat Apr 12 23:28:52 WIB 2025","passed","Sat Apr 12 23:28:52 WIB 2025","","Automation sauce labs e-commerce","",""
"","172","Sort product list by price (high to low)","","Sat Apr 12 23:28:52 WIB 2025","passed","Sat Apr 12 23:28:52 WIB 2025","","Automation sauce labs e-commerce","",""
"","111","View product page after click back to product","","Sat Apr 12 23:28:59 WIB 2025","passed","Sat Apr 12 23:28:59 WIB 2025","","Automation sauce labs e-commerce","",""
"","115","Add item to cart from detail page","","Sat Apr 12 23:28:59 WIB 2025","passed","Sat Apr 12 23:28:59 WIB 2025","","Automation sauce labs e-commerce","",""
"","2362","View detail product page","","Sat Apr 12 23:28:56 WIB 2025","passed","Sat Apr 12 23:28:59 WIB 2025","","Automation sauce labs e-commerce","",""
"","3962","Login with valid credentials","","Sat Apr 12 23:28:38 WIB 2025","passed","Sat Apr 12 23:28:42 WIB 2025","","Login Page","",""
"","758","Checkout without last name","","Sat Apr 12 23:29:10 WIB 2025","passed","Sat Apr 12 23:29:11 WIB 2025","","Automation sauce labs e-commerce","",""
